Data,Quantidade_Certificados,Valor_Certificados
01/01/2022,287781,21811184
01/02/2022,258493,18318571
01/03/2022,261374,14083343
01/04/2022,257473,13986444
01/05/2022,268300,23972789
01/06/2022,338784,47951987
01/07/2022,907755,51696542
01/08/2022,910482,54662696
01/09/2022,915937,58643545
01/10/2022,919120,60235274
01/11/2022,830132,59851494
01/12/2022,856065,61345609
01/01/2023,855470,62029434
01/02/2023,857420,63406062
01/03/2023,859996,64589451
01/04/2023,856829,64376583
01/05/2023,858215,65592763
01/06/2023,865332,65670417
01/07/2023,355119,65327316
01/08/2023,330392,65340562
01/09/2023,400341,63423560
01/10/2023,407764,65092297
01/11/2023,537220,65159862
01/12/2023,577886,104224650
01/01/2024,585545,106348466
01/02/2024,460821,107593616
01/03/2024,467909,113174502
01/04/2024,478742,113074949
01/05/2024,406951,112068685
01/06/2024,406674,114655228
01/07/2024,409084,115706392
01/08/2024,347880,118140679
01/09/2024,410523,116249208
01/10/2024,353827,129120718
01/11/2024,334335,131085291
01/12/2024,1506590,131449092
