data,QtdInvestimento,VlInvestimento
2022-01-01,70121,4253441885
2022-02-01,65728,4006609787
2022-03-01,73614,5127536534
2022-04-01,67801,4893736975
2022-05-01,78135,7207265740
2022-06-01,96890,12983656747
2022-07-01,83352,7092013254
2022-08-01,120255,15323802641
2022-09-01,105503,11272116110
2022-10-01,97613,10583494373
2022-11-01,86630,7989339149
2022-12-01,77782,9538617018
2023-01-01,71340,4989905159
2023-02-01,43113,5228468575
2023-03-01,74104,7653900959
2023-04-01,54347,4817117629
2023-05-01,86596,5727648636
2023-06-01,95674,9180931122
2023-07-01,66121,6455299319
2023-08-01,157076,12981172630
2023-09-01,130467,13998577279
2023-10-01,122495,10648189562
2023-11-01,114571,9246859642
2023-12-01,113420,10882133250
2024-01-01,104835,5931445077
2024-02-01,98865,6651918412
2024-03-01,104648,8334809501
2024-04-01,103126,7271849156
2024-05-01,103925,6717694675
2024-06-01,93991,10139547310
2024-07-01,76949,5557351383
2024-08-01,120593,12125316906
2024-09-01,136740,11539825650
2024-10-01,140306,11355145737
2024-11-01,116711,8700752758
2024-12-01,116343,10266666590
