Data,PIB_Agro,PIB_mercado
01/01/2022,229948,172678
01/02/2022,227631,175380
01/03/2022,223419,177382
01/04/2022,223360,177749
01/05/2022,229551,177468
01/06/2022,232174,177658
01/07/2022,238187,179837
01/08/2022,245259,179601
01/09/2022,241902,179228
01/10/2022,250097,180257
01/11/2022,257006,180012
01/12/2022,252741,179334
01/01/2023,263975,179006
01/02/2023,286696,183048
01/03/2023,278094,184543
01/04/2023,281722,185017
01/05/2023,275284,184626
01/06/2023,271587,184468
01/07/2023,277313,184695
01/08/2023,264703,183997
01/09/2023,253539,183516
01/10/2023,254.61,182974
01/11/2023,257928,185543
01/12/2023,262131,187157
01/01/2024,267626,187516
01/02/2024,266218,187898
01/03/2024,260576,187844
01/04/2024,260736,188448
01/05/2024,267618,188559
01/06/2024,268.37,191297
01/07/2024,268679,190878
01/08/2024,266709,190316
01/09/2024,258.03,191801
01/10/2024,248513,190829
01/11/2024,248621,191073
01/12/2024,269927,191426
